               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.029318,           0.0085278,          0.00054976,             0.90346,             0.88989,             0.91692,             0.49633,            0.036986,           0.0064755,          0.00078989,            0.006238,            0.006238,            0.006238
                  59,            0.028268,           0.0088859,          0.00051876,              0.9275,             0.86982,             0.92008,             0.50725,            0.035136,            0.006411,           0.0006685,            0.006172,            0.006172,            0.006172
                  60,            0.028035,           0.0079193,          0.00050202,              0.9105,             0.87815,             0.91953,             0.55622,            0.034982,           0.0066594,          0.00062959,            0.006106,            0.006106,            0.006106
                  61,            0.028181,           0.0080773,           0.0005023,               0.922,             0.88232,             0.92165,             0.52575,            0.035319,            0.006669,          0.00066022,             0.00604,             0.00604,             0.00604
                  62,            0.027968,            0.008123,           0.0004651,             0.87461,             0.91149,             0.91535,             0.50634,            0.034242,           0.0065825,          0.00063127,            0.005974,            0.005974,            0.005974
                  63,            0.028253,             0.00822,          0.00050684,             0.89293,             0.87815,             0.92152,              0.5141,            0.034614,            0.006525,          0.00058293,            0.005908,            0.005908,            0.005908
                  64,            0.027871,           0.0077174,          0.00046812,             0.91874,             0.86982,             0.92185,             0.49867,            0.036359,           0.0064642,            0.000586,            0.005842,            0.005842,            0.005842
                  65,            0.027678,            0.007802,          0.00041696,             0.90654,             0.87399,             0.92334,             0.50635,            0.036244,           0.0065556,          0.00056785,            0.005776,            0.005776,            0.005776
                  66,            0.027905,            0.007948,          0.00043794,             0.89172,             0.88309,             0.91295,             0.52576,            0.036436,           0.0065224,          0.00085496,             0.00571,             0.00571,             0.00571
                  67,            0.027561,           0.0077166,          0.00047911,             0.90065,             0.88546,             0.90367,             0.51186,            0.036035,           0.0063737,          0.00060518,            0.005644,            0.005644,            0.005644
                  68,            0.027389,           0.0072009,          0.00041092,             0.92546,             0.89297,               0.912,             0.50502,             0.03545,           0.0065717,          0.00055096,            0.005578,            0.005578,            0.005578
                  69,             0.02744,           0.0073288,           0.0004241,             0.91648,             0.88232,             0.91326,             0.51817,            0.034932,           0.0063948,           0.0005671,            0.005512,            0.005512,            0.005512
                  70,            0.027231,           0.0072155,          0.00042838,             0.91949,              0.8875,              0.9094,             0.49294,            0.035897,           0.0064655,          0.00055526,            0.005446,            0.005446,            0.005446
